,N Most Traded,Momentum
2020-05-30 00:00:00,360.25212945560156,898.2933140768507
2020-05-31 00:00:00,350.81489597340874,888.5719733810943
2020-06-01 00:00:00,367.57218988106575,905.5736385831955
2020-06-02 00:00:00,353.8096935488205,918.7717707049122
2020-06-03 00:00:00,359.2432304412845,918.9063376433758
2020-06-04 00:00:00,361.739666298748,915.7713316253487
2020-06-05 00:00:00,358.62943700349217,899.4344978184978
2020-06-06 00:00:00,357.6626858858297,898.8052360057648
2020-06-07 00:00:00,359.6746304561557,900.5541564272507
2020-06-08 00:00:00,359.85491692386717,896.8975575673948
2020-06-09 00:00:00,358.47285151972363,916.4363347273611
2020-06-10 00:00:00,360.8922036803753,953.2401542449612
2020-06-11 00:00:00,342.79848315730004,902.463325572759
2020-06-12 00:00:00,349.2797976761698,935.3338797533787
2020-06-13 00:00:00,349.69678305260874,933.1255245427258
2020-06-14 00:00:00,345.7694996568989,919.2714193622998
2020-06-15 00:00:00,345.0378939127818,940.4762572642319
2020-06-16 00:00:00,346.20545073092563,936.771498729365
2020-06-17 00:00:00,346.3966834074704,929.4687245686321
2020-06-18 00:00:00,344.10176681948604,924.7068367886449
2020-06-19 00:00:00,338.26984110245525,957.0429282369655
2020-06-20 00:00:00,341.2496201101177,956.0299196628237
2020-06-21 00:00:00,339.66960101214534,1000.35908214111
2020-06-22 00:00:00,349.04953359725863,967.578413115896
2020-06-23 00:00:00,349.50030240658344,954.662387851023
2020-06-24 00:00:00,340.87328547502244,959.8958491963745
2020-06-25 00:00:00,338.9789404524083,957.2435590889708
2020-06-26 00:00:00,338.0762055435963,946.4363177234184
2020-06-27 00:00:00,330.66808255715983,941.8757069039208
2020-06-28 00:00:00,332.0743504516464,948.941260853586
2020-06-29 00:00:00,334.03176887327953,961.5061338302642
2020-06-30 00:00:00,331.56252116829677,957.5876688363312
2020-07-01 00:00:00,334.52106303714635,952.2043224230104
2020-07-02 00:00:00,333.96659880366343,950.8752063754972
2020-07-03 00:00:00,330.67701825699453,991.5202559285609
2020-07-04 00:00:00,334.19142508281203,977.9436556745986
2020-07-05 00:00:00,332.09874272523365,978.3115430818378
2020-07-06 00:00:00,346.5448090143192,976.4052420440411
2020-07-07 00:00:00,342.45745325518817,1003.3765823536404
2020-07-08 00:00:00,356.335462377842,1070.4409985942546
2020-07-09 00:00:00,352.7060909570913,1044.000760375003
2020-07-10 00:00:00,349.96397332469155,997.2143834245758
2020-07-11 00:00:00,350.883451414446,991.0686399075717
2020-07-12 00:00:00,351.47780072336076,995.0631569968007
2020-07-13 00:00:00,348.74337451819815,999.2238608941568
2020-07-14 00:00:00,348.7782051849513,1044.8775874969665
2020-07-15 00:00:00,346.47650597865913,1065.0052113438992
2020-07-16 00:00:00,341.5989302264371,1023.7726259687518
2020-07-17 00:00:00,341.3464193515513,1056.6060276284775
2020-07-18 00:00:00,344.75614854749386,1054.5712946906783
2020-07-19 00:00:00,345.9415902849679,1038.496114032028
2020-07-20 00:00:00,342.9055735265499,1019.4473472407159
2020-07-21 00:00:00,350.9983027376077,1022.3247770923311
2020-07-22 00:00:00,360.84541634491984,1041.206952548227
2020-07-23 00:00:00,365.8789385699682,1045.1747790715294
2020-07-24 00:00:00,364.47329594546545,1069.4804086275078
2020-07-25 00:00:00,383.1797836798392,1095.7731726595784
2020-07-26 00:00:00,385.47394719911836,1102.4767559316874
2020-07-27 00:00:00,408.1561096092009,1113.539650470305
2020-07-28 00:00:00,412.78118019917434,1103.522784071971
2020-07-29 00:00:00,418.73747200912607,1092.254311865266
2020-07-30 00:00:00,425.80060563851043,1092.0271448652004
2020-07-31 00:00:00,437.11869177755506,1098.2043467324124
2020-08-01 00:00:00,465.5503811320556,1086.9279228764335
2020-08-02 00:00:00,448.6673093085434,1083.5602646182656
2020-08-03 00:00:00,464.38113516386767,1084.4227584338835
2020-08-04 00:00:00,460.496266521666,1094.9026607042758
2020-08-05 00:00:00,471.18791850010354,1092.7984141570853
2020-08-06 00:00:00,469.95146636685644,1121.7299579786122
2020-08-07 00:00:00,459.2935317453178,1102.6114595158679
2020-08-08 00:00:00,464.97723208224846,1182.880038704266
2020-08-09 00:00:00,460.6782467955388,1234.9882848856448
2020-08-10 00:00:00,466.97543118425375,1321.3645378074996
2020-08-11 00:00:00,450.3987131839949,1251.2799416932573
2020-08-12 00:00:00,456.3175909914709,1272.576948719386
2020-08-13 00:00:00,475.99592495944006,1274.734335108025
2020-08-14 00:00:00,475.19466365051653,1279.2666717157063
2020-08-15 00:00:00,480.19058808139965,1275.479025793234
2020-08-16 00:00:00,488.06285603514004,1296.2844255539217
